"","code","country","index_2001","index_2002","index_2003","index_2004","index_2005","index_2006","index_2007","index_2008","index_2009","index_2010","index_2011","index_2012","index_2013","index_2014","index_2015","index_2016","index_2017","index_2018","index_2019","index_2020","index_2021"
"64","LIE","Liechtenstein",0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991
"148","WSM","Samoa",0.784,0.783,0.782,0.781,0.78,0.779,0.779,0.778,0.777,0.775,0.773,0.773,0.771,0.77,0.769,0.767,0.765,0.763,0.764,0.762,0.761
"190","ASM","American Samoa",0.869,0.869,0.868,0.867,0.867,0.868,0.868,0.868,0.867,0.868,0.867,0.867,0.867,0.866,0.865,0.864,0.864,0.865,0.864,0.863,0.863
"232","LUX","Luxembourg",0.983,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.985,0.985,0.985,0.985,0.985
"400","HRV","Croatia",0.897,0.897,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896
"463","SDN","Sudan",0.968,0.965,0.962,0.96,0.958,0.955,0.953,0.951,0.948,0.946,0.943,0.941,0.939,0.936,0.933,0.931,0.929,0.927,0.924,0.921,0.919
"568","NGA","Nigeria",0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.852,0.852,0.852,0.852,0.852,0.852
"652","TUV","Tuvalu",0.897,0.892,0.889,0.885,0.882,0.878,0.875,0.873,0.87,0.867,0.862,0.859,0.855,0.851,0.848,0.845,0.841,0.837,0.833,0.829,0.827
"673","CYM","Cayman Islands",0.84,0.839,0.838,0.837,0.836,0.835,0.834,0.833,0.832,0.831,0.83,0.829,0.828,0.826,0.826,0.824,0.823,0.822,0.821,0.82,0.818
"736","ETH","Ethiopia",0.849,0.849,0.849,0.85,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849
"799","BMU","Bermuda",0.628,0.627,0.626,0.625,0.626,0.626,0.626,0.626,0.625,0.625,0.624,0.622,0.621,0.619,0.617,0.617,0.616,0.614,0.614,0.611,0.61
"904","GIN","Guinea",0.892,0.892,0.892,0.892,0.892,0.893,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.893,0.893,0.893,0.893
"988","LVA","Latvia",0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989
"1030","ERI","Eritrea",0.939,0.937,0.934,0.931,0.929,0.927,0.924,0.922,0.919,0.917,0.914,0.912,0.91,0.908,0.905,0.902,0.899,0.898,0.894,0.893,0.891
"1114","SHN","Saint Helena",0.645,0.645,0.644,0.645,0.646,0.649,0.651,0.653,0.655,0.656,0.657,0.657,0.657,0.658,0.658,0.658,0.659,0.66,0.66,0.66,0.661
"1198","ISL","Iceland",0.872,0.872,0.872,0.871,0.872,0.874,0.875,0.877,0.877,0.878,0.877,0.875,0.871,0.87,0.867,0.866,0.865,0.865,0.865,0.865,0.866
"1219","MUS","Mauritius",0.512,0.507,0.502,0.496,0.491,0.485,0.481,0.476,0.473,0.468,0.464,0.458,0.452,0.444,0.439,0.433,0.428,0.419,0.417,0.411,0.403
"1261","PLW","Palau",0.874,0.864,0.855,0.846,0.838,0.828,0.817,0.809,0.8,0.788,0.779,0.77,0.76,0.75,0.742,0.733,0.723,0.713,0.706,0.698,0.685
